,Unnamed: 0,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1,Customer At Risk,Fee_Sw_Refe_ID
0,0,0,2,0,586.6,7.0,36.0,1,1,08-01-2016,4.352916667,43.99,11.0471875,11.2,1,26.66751529,31.22482897,60.07864583,79.34,25.88791667,31.11,0,0,1,30462,10499,30462-10499-1,ApolloBandar,18.22570608,73.87702763,30462_10499_1,28,30850_11933_222
1,1,0,1,0,533.1,5.0,22.75098814229249,0,1,15-01-2016,4.416875,19.24,11.02166667,11.27,1,24.97567422,28.20256186,69.5909375,76.92,23.92708333,27.3,0,0,1,30462,10499,30462-10499-1,AzadMaidan,19.42119603,73.57888698,30462_10499_2,30,30850_11933_222
2,2,0,1,0,600.0,2.0,22.75098814229249,0,1,20-01-2016,14.33125,20.8,11.06614583,11.49,1,25.39410762,29.47917587,62.81375,73.11,23.75552083,29.36,0,0,1,30462,10499,30462-10499-1,MumbaiPortTrust,19.03025027,74.7954683,30462_10499_3,35,30462_10499_11
3,3,0,0,0,682.5,5.0,23.0,1,0,25-01-2016,27.5353125,109.47,11.0,11.41,1,25.91446561,28.94234103,50.20145833,64.66,24.73489583,30.33,0,0,1,30462,10499,30462-10499-1,DrAmbedkarStatueChowkArea,20.24176498,73.35740892,30462_10499_4,26,30462_10499_11
4,4,0,0,0,381.0,4.0,20.0,1,0,02-02-2016,0.845625,80.23,11.07791667,11.39,1,26.55376559,32.86373525,64.32864583,74.42,25.37291667,31.12,0,0,1,30462,10499,30462-10499-1,ApolloBandar,18.8821594,74.42632556,30462_10499_5,49,30462_10499_11
5,5,1,2,0,1613.43,21.0,22.75098814229249,1,1,05-02-2016,9.230416667,25.88,11.1046875,11.37,1,26.15847822,31.61253516,63.81625,77.25,25.17458333,30.9,0,0,1,30462,10499,30462-10499-1,ChhatrapatiShivajiTerminusArea,20.76644332,73.28661425,30462_10499_6,26,30462_10499_11
6,6,0,2,0,908.0,3.0,22.75098814229249,1,0,17-02-2016,0.0,0.0,11.1275,11.34,0,26.77266653,31.91040682,66.22895833,80.83,25.93208333,30.73,0,0,1,30462,10499,30462-10499-3,AzadMaidan,19.88694691,73.65251422,30462_10499_7,37,30850_11933_222
7,7,0,0,0,1084.9,6.0,23.0,1,0,18-03-2016,58.21010417,137.21,11.16145833,11.4,1,30.9428615,37.86974581,76.82541667,92.66,27.88989583,32.35,1,0,0,30462,10499,30462-10499-1,KalaGhoda,18.98409064,73.79368784,30462_10499_8,37,30850_11933_222
8,8,0,0,0,869.43,5.0,32.0,1,1,24-03-2016,60.77322917,71.58,10.97260417,11.12,0,30.64528286,35.80659905,64.60625,87.42,28.71072917,33.43,1,0,0,30462,10499,30462-10499-3,BallardEstate,18.02993802,73.65119786,30462_10499_9,39,30850_11933_222
9,9,0,2,0,880.0,14.0,42.0,1,0,28-03-2016,27.92958333,98.03,11.00375,11.31,1,33.41387003,42.54965209,61.15625,77.8,30.33697917,35.93,1,0,0,30462,10499,30462-10499-1,MangalWadi,18.47788338,73.31128194,30462_10499_10,49,30850_11932_209
10,10,1,0,0,1003.0,3.0,20.0,1,0,28-03-2016,0.1,0.1,0.0,0.0,0,33.41387003,42.54965209,61.15625,77.8,30.33697917,35.93,1,0,0,30462,10499,30462-10499-1,FanasWadi,20.44823252,73.01295647,30462_10499_11,35,30850_11932_209
11,11,0,0,7,1609.71,26.0,20.0,1,1,07-04-2016,48.6834375,166.12,10.81583333,11.1,1,33.58337783,38.9240328,75.6984375,91.09,29.15864583,33.62,1,0,0,30462,10499,30462-10499-1,MarineLineEast,18.06919142,73.35900571,30462_10499_12,38,30850_11932_209
12,12,0,0,7,1609.71,26.0,20.0,1,1,07-04-2016,48.6834375,166.12,10.81583333,11.1,1,33.58337783,38.9240328,75.6984375,91.09,29.15864583,33.62,1,0,0,30462,10499,30462-10499-3,Bhagatvadi,18.34972674,73.62303795,30462_10499_13,48,30462_10499_24
13,13,0,0,7,1609.71,26.0,20.0,1,1,07-04-2016,48.6834375,166.12,10.81583333,11.1,1,33.58337783,38.9240328,75.6984375,91.09,29.15864583,33.62,1,0,0,30462,10499,30462-10499-3,Panjarpole,19.98357292,74.81711043,30462_10499_14,44,30462_10499_24
14,14,0,0,7,1609.71,26.0,20.0,1,1,07-04-2016,48.6834375,166.12,10.81583333,11.1,1,33.58337783,38.9240328,75.6984375,91.09,29.15864583,33.62,1,0,0,30462,10499,30462-10499-3,MumbadeviArea,20.87210523,73.91895788,30462_10499_15,33,30462_10499_24
15,15,0,1,7,2023.7,5.0,8.0,0,1,07-04-2016,101.6425,208.99,11.00010417,11.2,1,33.58337783,38.9240328,75.6984375,91.09,29.15864583,33.62,1,0,0,30462,10499,30462-10499-3,GulalWadi,18.42333945,73.94798961,30462_10499_16,43,30462_10499_24
16,16,0,0,0,540.6,2.0,19.0,1,1,08-04-2016,5.373333333,126.66,11.05333333,11.33,1,34.93122045,42.3071532,69.66541667,85.97,30.15,34.82,1,0,0,30462,10499,30462-10499-1,MangalWadi,19.78118283,74.80672571,30462_10499_17,39,30462_10499_24
17,17,0,0,7,483.0,5.0,34.0,1,1,15-04-2016,114.3497917,161.62,11.0346875,11.21,0,34.14912395,43.1778862,79.12854167,92.46,29.07708333,33.65,1,0,0,30462,10499,30462-10499-1,ChampaWadi,18.17773022,74.83827188,30462_10499_18,35,30850_11932_209
18,18,1,0,0,2430.0,17.0,14.0,1,1,17-04-2016,0.1,0.1,11.1403125,11.32,0,32.78997195,40.28963148,82.921875,93.23,28.19802083,32.17,1,0,0,30462,10499,30462-10499-1,AnantWadi,20.57108488,74.06339577,30462_10499_19,26,30850_11932_209
19,19,2,1,4,1092.0,10.0,5.0,0,1,22-04-2016,155.7604167,195.0,11.12270833,11.32,0,32.97310132,38.04778183,79.72947917,86.26,28.39802083,30.79,1,0,0,30462,10499,30462-10499-6,FanasWadi,19.95057964,72.86007866,30462_10499_20,50,30850_11932_209
20,20,0,1,0,1418.4,4.0,7.0,0,1,23-04-2016,9.084375,18.85,11.06302083,11.22,1,34.04847904,40.68694499,80.5246875,85.18,28.70791667,31.6,1,0,0,30462,10499,30462-10499-6,ChippiChawl,20.53156605,74.88814254,30462_10499_21,42,30850_11936_244
21,21,0,1,7,1615.5,5.0,5.0,0,1,24-04-2016,156.0,208.24,10.9825,11.24,0,33.42459015,39.44511368,80.1521875,85.62,28.52385417,31.45,1,0,0,30462,10499,30462-10499-6,ZaveriBazaar,18.44047039,73.42128936,30462_10499_22,48,30850_11936_244
